Time Symbol VWAP
22:00:00 AAL 36.47
22:00:00 AAPL 165.59
22:00:00 ACIU 3.79
22:00:00 ADBE 244.01
22:00:00 AGNC 17.77
22:00:00 ALT 3.22
22:00:00 AMD 23.22
22:00:00 AMGN 185.31
22:00:00 AMZN 1683.35
22:00:00 APRN 1.47
22:00:00 ARRS 30.84
22:00:00 ATSG 23.64
22:00:00 ATVI 46.43
22:00:00 AVGO 271.53
22:00:00 BABA 166.89
22:00:00 BBF 12.99
22:00:00 BIDU 169.52
22:00:00 BKNG 1817.7
22:00:00 BMRN 97.23
22:00:00 BOX 20.14
22:00:00 BWFG 28.67
22:00:00 CCL 57.23
22:00:00 CGC 48.06
22:00:00 CGNX 44.16
22:00:00 CHKP 110.91
22:00:00 CIBR 25.73
22:00:00 CMCSA 35.58
22:00:00 CODX 2.08
22:00:00 CORT 11.97
22:00:00 COUP 80.02
22:00:00 CREE 50.83
22:00:00 CRM 149.54
22:00:00 CRON 18.49
22:00:00 CRUS 38.0
22:00:00 CSCO 46.92
22:00:00 CSIQ 20.89
22:00:00 CTRP 32.49
22:00:00 CVS 65.94
22:00:00 CYBR 86.91
22:00:00 DGAZ 88.84
22:00:00 DHI 37.74
22:00:00 DIA 250.2
22:00:00 DLB 70.02
22:00:00 DWT 9.21
22:00:00 EEM 42.79
22:00:00 EFII 22.11
22:00:00 ETFC 46.83
22:00:00 FB 165.29
22:00:00 FCAU 17.08
22:00:00 FIVN 49.75
22:00:00 FLEX 9.8
22:00:00 FOX 48.79
22:00:00 FOXA 49.29
22:00:00 FSLR 50.51
22:00:00 GE 9.16
22:00:00 GEVO 2.62
22:00:00 GHL 27.59
22:00:00 GILD 70.27
22:00:00 GLUU 9.26
22:00:00 GNW 4.83
22:00:00 GOOG 1106.48
22:00:00 GOOGL 1116.12
22:00:00 HEAR 14.59
22:00:00 HOLX 45.11
22:00:00 INTC 47.64
22:00:00 IRBT 91.03
22:00:00 IRDM 19.49
22:00:00 ISRG 507.99
22:00:00 IWM 147.83
22:00:00 JACK 80.51
22:00:00 JBL 26.11
22:00:00 JBLU 18.26
22:00:00 JD 24.56
22:00:00 JNPR 25.78
22:00:00 KHC 46.86
22:00:00 LBTYA 23.86
22:00:00 LC 3.01
22:00:00 LEVB 4.67
22:00:00 LIFE 0.51
22:00:00 LUV 56.89
22:00:00 LVS 59.65
22:00:00 MA 207.17
22:00:00 MAR 113.87
22:00:00 MDLZ 44.54
22:00:00 MLNX 91.3
22:00:00 MMLP 13.68
22:00:00 MSFT 103.03
22:00:00 MTH 42.65
22:00:00 MU 38.27
22:00:00 MYL 30.83
22:00:00 MYSZ 0.79
22:00:00 NFLX 340.97
22:00:00 NOW 209.1
22:00:00 NTES 243.8
22:00:00 NVCN 0.75
22:00:00 NVDA 137.02
22:00:00 NVEC 93.3
22:00:00 NVRO 49.95
22:00:00 OILU 21.3
22:00:00 PAAS 14.86
22:00:00 PACB 6.75
22:00:00 PEP 110.99
22:00:00 PHM 27.26
22:00:00 PPL 30.98
22:00:00 PULM 0.17
22:00:00 PYPL 88.17
22:00:00 QCOM 51.43
22:00:00 QQQ 166.45
22:00:00 QTT 9.55
22:00:00 ROKU 44.07
22:00:00 SBUX 68.22
22:00:00 SCO 20.51
22:00:00 SCYX 1.01
22:00:00 SLAB 77.44
22:00:00 SLM 10.52
22:00:00 SMAR 30.23
22:00:00 SNAP 6.64
22:00:00 SPOT 137.91
22:00:00 SPY 267.93
22:00:00 SQ 71.13
22:00:00 SQQQ 12.95
22:00:00 STML 10.81
22:00:00 SVA 6.55
22:00:00 TLRY 77.4
22:00:00 TMDI 3.82
22:00:00 TMUS 68.73
22:00:00 TNDM 42.62
22:00:00 TQQQ 45.58
22:00:00 TRVN 1.08
22:00:00 TSLA 305.15
22:00:00 TSN 62.11
22:00:00 TTEK 50.44
22:00:00 TVIX 42.82
22:00:00 TVPT 15.65
22:00:00 TWLO 104.13
22:00:00 TWNK 11.59
22:00:00 TWTR 33.15
22:00:00 TXN 101.98
22:00:00 UCO 18.23
22:00:00 UGAZ 38.77
22:00:00 ULTA 286.02
22:00:00 UNG 25.59
22:00:00 UPS 101.1
22:00:00 USLV 81.37
22:00:00 UVXY 55.96
22:00:00 UWT 14.1
22:00:00 V 140.61
22:00:00 VALE 12.5
22:00:00 VRNS 59.98
22:00:00 VTVT 2.87
22:00:00 WDAY 173.71
22:00:00 WIX 107.43
22:00:00 WYNN 124.7
22:00:00 X 21.24
22:00:00 XLF 25.94
22:00:00 XLK 66.49
22:00:00 XLNX 112.81
22:00:00 YRD 11.12
22:00:00 ZVZZT 10.02
